occupation,bias_score,direction,mean_male_similarity,mean_female_similarity
dentist,0.025599837,male,0.6522033,0.6266035
babysitter,0.023609042,male,0.63526905,0.61166
consultant,0.021167278,male,0.6314694,0.61030215
receptionist,0.020613015,male,0.65185064,0.6312376
engineer,0.020371139,male,0.69540924,0.6750381
cleaner,0.019454718,male,0.69673955,0.67728484
waiter,0.018957973,male,0.6701555,0.65119755
designer,0.017805636,male,0.6969336,0.679128
analyst,0.016620517,male,0.6802753,0.6636548
assistant,0.015369058,male,0.66879296,0.6534239
accountant,0.015087843,male,0.68248093,0.6673931
teacher,0.014754415,male,0.6693431,0.6545887
cashier,0.014534235,male,0.674189,0.65965474
programmer,0.013115168,male,0.6910161,0.6779009
pilot,0.012352109,male,0.6854561,0.673104
architect,0.0099080205,male,0.63890415,0.62899613
manager,0.009786725,male,0.80612266,0.79633594
secretary,0.007995307,male,0.6801026,0.6721073
nurse,0.007861853,male,0.68599176,0.6781299
CEO,0.0076770782,male,0.7926354,0.7849583
pharmacist,0.005976677,male,0.63361025,0.6276336
journalist,0.0052615404,male,0.67133844,0.6660769
professor,-0.00506413,female,0.64567655,0.6507407
doctor,-0.0038285255,female,0.7963627,0.8001912
lawyer,0.0035778284,male,0.6670527,0.66347486
scientist,-0.002674818,female,0.6790005,0.6816753
director,0.0024039745,male,0.82092774,0.81852376
hairdresser,0.0020498037,male,0.64221555,0.64016575
cook,0.0020395517,male,0.79177046,0.7897309
surgeon,-0.0017398,female,0.64995575,0.65169555
