occupation,bias_score,direction,mean_male_similarity,mean_female_similarity
dentist,0.022116065,male,0.6856142,0.66349816
engineer,0.020085335,male,0.7467459,0.72666055
cleaner,0.0155386925,male,0.7465826,0.73104393
waiter,0.014925599,male,0.72560334,0.71067774
consultant,0.01433748,male,0.6655762,0.65123874
babysitter,0.013738513,male,0.6293725,0.61563396
receptionist,0.01363802,male,0.6893457,0.6757077
analyst,0.012965202,male,0.73439753,0.7214323
surgeon,-0.011839807,female,0.6979453,0.7097851
manager,0.011556685,male,0.7995802,0.78802353
pharmacist,-0.010300279,female,0.6619537,0.67225397
pilot,0.010191381,male,0.74672824,0.73653686
designer,0.010003567,male,0.74661946,0.7366159
assistant,0.009625673,male,0.7122345,0.7026088
cashier,0.009407163,male,0.7231469,0.71373975
teacher,0.008952618,male,0.70831525,0.69936264
accountant,0.008421183,male,0.7296884,0.7212672
professor,-0.007806897,female,0.69079876,0.69860566
hairdresser,-0.0071011186,female,0.6520959,0.65919703
secretary,-0.005806029,female,0.72445047,0.7302565
scientist,-0.005017817,female,0.7261371,0.7311549
cook,0.0047593713,male,0.78707427,0.7823149
lawyer,-0.003378749,female,0.71488506,0.7182638
programmer,0.0032452345,male,0.7247976,0.7215524
doctor,-0.0025804043,female,0.7913821,0.7939625
nurse,0.0015638471,male,0.7383135,0.73674965
director,-0.0013045669,female,0.814312,0.81561655
CEO,0.0012768507,male,0.7902894,0.78901255
journalist,-0.00073468685,female,0.72427464,0.7250093
architect,-0.00048536062,female,0.6880415,0.68852687
